Territory;Homicide;Population;GDP;GDP_per_capita;GNI;Labor_force;Unempl;Agri_fore_fish_GDP;Life_expect;Death_rate;Birth_rate;Empl;Empl_serv;Empl_agri;Empl_indu;educ_expen;Mil_expen;Arm_forc_person;Region;Subregion
Kenya;2466;50221473;78965004656;1572;77456412235;22401022;3;27504481636;66;6;29;73;37;56;7;3826851211;1015384782;29000;Africa;Eastern Africa
Mauritius;33;1264613;13259351418;10485;14572668163;608131;7;410482173;75;8;11;55;68;6;26;695116271;23823068;3000;Africa;Eastern Africa
Uganda;4735;41162465;30756466548;747;30032761102;15285775;2;7215108857;63;7;39;69;20;73;7;602376430;346762884;46000;Africa;Eastern Africa
Cameroon;341;24566045;35009262788;1425;34347942597;10703273;3;5031606455;59;10;36;74;40;45;15;920524862;408157575;24000;Africa;Middle Africa
Morocco;761;35581294;1,10E+11;3036;1,08E+11;11742989;9;13559533636;76;5;19;41;42;36;22;5593342551;3461461531;246000;Africa;Northern Africa
Eswatini;130;1124753;4446248676;3953;4185340308;360335;23;370949317;58;10;27;40;63;13;24;284222939;88678494;NA;Africa;Southern Africa
South Africa;20355;57000451;3,50E+11;6132;3,39E+11;22696993;27;8253798947;64;9;21;41;71;5;23;20308853275;3638936588;80000;Africa;Southern Africa
Benin;126;11175204;12701656931;1137;12561418821;4535767;2;3618577142;61;9;37;69;41;40;19;505865169;116142782;12000;Africa;Western Africa
Burkina Faso;240;19193284;14169905602;738;13640284572;7009083;6;3023175342;61;8;38;62;40;27;33;587896265;191065839;11000;Africa;Western Africa
Cabo Verde;38;537497;1769787215;3293;1708731942;228836;12;119260472;73;6;20;53;64;14;22;89079010;9354384;1000;Africa;Western Africa
Ghana;609;29121471;58998132330;2026;57431697460;12304378;4;11620363682;63;7;30;65;48;32;20;2437551885;189129842;16000;Africa;Western Africa
Guinea-Bissau;21;1828146;1346841897;737;1349590591;756163;3;662077951;58;10;36;70;24;69;7;15655251;NA;4000;Africa;Western Africa
Bahamas;122;381761;12150400000;31827;11789714600;219835;10;95900000;74;7;14;67;83;2;15;452206293;NA;1000;Americas;Caribbean
Barbados;30;286233;4978000000;17391;4754253200;155167;10;NA;79;9;11;59;78;3;19;221493767;NA;1000;Americas;Caribbean
Dominica;19;71458;519837037;7275;508221815;NA;NA;69914815;NA;NA;NA;NA;NA;NA;NA;25411091;NA;NA;Americas;Caribbean
Dominican Republic;1216;10513131;79997975622;7609;76204178959;4838602;6;4274025159;74;6;20;60;71;10;19;1919775491;533077263;71000;Americas;Caribbean
Grenada;12;110874;1125685185;10153;1021180333;NA;NA;60466667;72;10;17;NA;NA;NA;NA;38294263;NA;NA;Americas;Caribbean
Jamaica;1647;2920853;14806340821;5069;14369507624;1476965;12;982100504;74;8;16;59;68;17;16;757129743;143545555;4000;Americas;Caribbean
Puerto Rico;729;3325286;1,03E+11;31109;69049500000;1107555;11;847300000;80;9;7;36;83;1;16;5955485066;NA;NA;Americas;Caribbean
Saint Lucia;53;180955;1999090407;11047;1891270111;98287;21;35205778;76;7;12;53;64;18;18;73104031;NA;NA;Americas;Caribbean
Belize;142;375769;1836600000;4888;1681173400;168345;7;205778150;74;5;21;61;67;17;16;107426980;23456750;2000;Americas;Central America
Costa Rica;603;4949954;58481858043;11815;55569873365;2336778;8;2916743054;80;5;14;55;69;13;18;4111671813;0;10000;Americas;Central America
El Salvador;3942;6388122;24979200000;3910;23591580000;2743560;4;1347130000;73;7;18;57;60;19;22;857416600;260900000;42000;Americas;Central America
Guatemala;4410;16087418;71612352781;4451;70111244439;6498737;2;6932950095;74;5;25;61;49;32;19;1913585986;275014799;43000;Americas;Central America
Honduras;3864;9429013;23136232230;2454;21720693036;4273483;6;2931306973;75;4;22;63;47;32;21;1374919869;398460128;23000;Americas;Central America
Mexico;32079;124777324;1,16E+12;9278;1,13E+12;55131907;3;39195052915;75;6;18;58;61;13;26;55037707570;5781437375;336000;Americas;Central America
Panama;397;4106771;62219000000;15150;58459154300;1937154;4;1483400000;78;5;19;62;67;14;19;1636856320;0;26000;Americas;Central America
Bermuda;5;63873;NA;NA;NA;NA;NA;NA;81;8;9;NA;NA;NA;NA;NA;NA;NA;Americas;Northern America
Canada;660;36543321;1,65E+12;45149;1,63E+12;20164604;6;NA;82;8;10;61;79;2;20;80394082167;21343371455;72000;Americas;Northern America
United States of America;17284;324985539;1,95E+13;59958;1,98E+13;164268059;4;1,79E+11;79;9;12;60;79;1;20;8,72E+11;6,06E+11;1359000;Americas;Northern America
Argentina;2289;44044811;6,43E+11;14592;6,26E+11;20035267;8;35209336044;76;8;17;56;78;0;22;31276833378;5459643672;105000;Americas;South America
