"";"Territory";"Homicide";"Population";"GDP";"Unempl";"Agri_fore_fish_GDP";"Life_expect";"Death_rate";"Birth_rate";"Empl_serv";"Empl_agri";"Empl_indu";"educ_expen";"Mil_expen";"Arm_forc_person";"Region";"Subregion"
"1";"Kenya";7,81035268372429;17,7319532422074;25,0922706122313;1,09861228866811;24,0376147969228;4,18965474202643;1,79175946922805;3,36729582998647;3,62691886089352;4,02535169073515;2,45010209899215;22,065308163878;20,7385334731681;10,2750511089686;"Africa";"Eastern Africa"
"2";"Mauritius";3,49650756146648;14,0502767044842;23,3079689078382;1,94591014905531;19,8328430583863;4,31748811353631;2,07944154167984;2,39789527279837;4,21950770517611;1,79175946922805;3,25809653802148;20,3595896859395;17,948947661286;8,00636756765025;"Africa";"Eastern Africa"
"3";"Uganda";8,46273700562018;17,5330373553779;24,1493661033341;0,693147180559945;22,6994431166537;4,14313472639153;1,94591014905531;3,66356164612965;3,62691886089352;4,29045944114839;2,45010209899215;20,2163931068585;19,6641517729217;10,7363966754712;"Africa";"Eastern Africa"
"6";"Eswatini";4,86753445045558;13,9330740139593;22,2153265834479;2,95203202982707;19,7315759993796;4,13023038150424;2,30258509299405;3,29583686600433;4,14313472639153;2,56494935746154;3,17805383034795;19,4652694846558;18,3005279601595;11;"Africa";"Southern Africa"
"7";"South Africa";9,92108186093708;17,8585697380482;26,5811989914299;2,95203202982707;22,8339394097296;4,15888308335967;2,19722457733622;3,04452243772342;4,26267987704132;1,6094379124341;3,13549421592915;23,7343227498418;22,0149573297582;11,289781913656;"Africa";"Southern Africa"
"9";"Burkina Faso";5,48063892334199;16,77007098414;23,3743862288061;1,79175946922805;21,829573553708;4,13023038150424;2,07944154167984;3,63758615972639;3,68887945411394;3,29583686600433;3,47804456626643;20,192061070231;19,0681286334194;9,30565055178051;"Africa";"Western Africa"
"10";"Cabo Verde";3,63758615972639;13,194678457573;21,2941251587913;2,484906649788;18,5968204993908;4,29045944114839;1,79175946922805;2,99573227355399;4,15888308335967;2,63905732961526;3,09104245335832;18,3050342866859;17,948947661286;6,90775527898214;"Africa";"Western Africa"
"12";"Guinea-Bissau";3,04452243772342;14,4188128965159;21,0210283533209;1,09861228866811;20,3108938577245;4,13023038150424;2,30258509299405;3,58351893845611;3,62691886089352;4,23410650459726;2,45010209899215;16,5663169458303;21;8,29404964010203;"Africa";"Western Africa"
"13";"Bahamas";4,80402104473326;12,852550037335;23,2206279280018;2,30258509299405;18,4319995557487;4,30406509320417;1,94591014905531;2,63905732961526;4,41156779147719;0,693147180559945;2,70805020110221;19,92964903412;21;6,90775527898214;"Americas";"Caribbean"
"14";"Barbados";3,40119738166216;12,6738153138436;22,3282940408918;2,30258509299405;22;4,36944785246702;2,19722457733622;2,39789527279837;4,35670882668959;1,09861228866811;2,94443897916644;19,2159050070987;21;6,90775527898214;"Americas";"Caribbean"
"15";"Dominica";2,94443897916644;12,6738153138436;20,0690259300381;2;18,4319995557487;4,13023038150424;2;3;4;2;3;17,0506962902267;21;11;"Americas";"Caribbean"
"17";"Grenada";2,484906649788;12,6738153138436;20,8416577405384;2;18,4319995557487;4,27666611901606;2,30258509299405;2,83321334405622;4;2;3;17,4608106518083;21;11;"Americas";"Caribbean"
"18";"Jamaica";7,40671073017764;14,8873862548724;23,4183213598163;2,484906649788;20,7052042073139;4,30406509320417;2,07944154167984;2,77258872223978;4,21950770517611;2,83321334405622;2,77258872223978;20,4450451877331;18,7821629992313;8,29404964010203;"Americas";"Caribbean"
"19";"Puerto Rico";6,59167373200866;15,0170662434106;25,357994825176;2,39789527279837;20,5575653811687;4,38202663467388;2,19722457733622;1,94591014905531;4,41156779147719;0;2,77258872223978;22,5075784916841;21;11;"Americas";"Caribbean"
"22";"Costa Rica";6,40191719672719;15,4148888415724;24,7919824241643;2,07944154167984;21,7937334382477;4,38202663467388;1,6094379124341;2,63905732961526;4,23410650459726;2,56494935746154;2,89037175789616;22,1370955499005;21;9,21034037197618;"Americas";"Central America"
"23";"El Salvador";8,27944348771267;15,669950886444;23,9413093155105;1,38629436111989;21,0212422404824;4,29045944114839;1,94591014905531;2,89037175789616;4,0943445622221;2,94443897916644;3,09104245335832;20,5694344727991;19,379647750107;10,6454248972655;"Americas";"Central America"
"25";"Honduras";8,25945819533241;16,0593019831721;23,8646657204761;1,79175946922805;21,7987142263879;4,31748811353631;1,38629436111989;3,09104245335832;3,85014760171006;3,46573590279973;3,04452243772342;21,0416612892759;19,8031179959817;10,0432494949113;"Americas";"Central America"
"26";"Mexico";10,3759568894248;18,6420412986724;27,7794411210468;1,09861228866811;24,3918163746308;4,31748811353631;1,79175946922805;2,89037175789616;4,11087386417331;2,56494935746154;3,25809653802148;24,7312843794497;22,4779181695106;12,7248664389453;"Americas";"Central America"
"27";"Panama";5,98393628068719;15,228147632923;24,8539262562842;1,38629436111989;21,1176025872667;4,35670882668959;1,6094379124341;2,94443897916644;4,20469261939097;2,63905732961526;2,94443897916644;21,2160433611718;21;10,1658518170036;"Americas";"Central America"
"28";"Bermuda";1,6094379124341;12,6738153138436;25;2;22;4,39444915467244;2,07944154167984;2,19722457733622;4;2;3;22;21;11;"Americas";"Northern America"
"29";"Canada";6,49223983502047;17,4140089914837;28,131796403841;1,79175946922805;22;4,40671924726425;2,07944154167984;2,30258509299405;4,36944785246702;0,693147180559945;2,99573227355399;25,1102064055343;23,7840070579233;11,1844213979982;"Americas";"Northern America"
"30";"United States of America";9,75753649705182;18,9940738459155;30,6014355814983;1,38629436111989;24,8680652636278;4,36944785246702;2,19722457733622;2,484906649788;4,36944785246702;0;2,99573227355399;27,4940552608554;24,6665875168696;14,1222596931333;"Americas";"Northern America"
"33";"Chile";6,65801104587075;16,7316821201658;26,3472833431337;1,94591014905531;23,1235971529988;4,38202663467388;1,79175946922805;2,56494935746154;4,21950770517611;2,19722457733622;3,13549421592915;23,219552654372;22,4040971225565;11,7117763237154;"Americas";"South America"
"34";"Colombia";9,41221942798567;17,7053097537985;26,4662690247559;2,19722457733622;23,7154077253245;4,34380542185368;1,79175946922805;2,70805020110221;4,15888308335967;2,83321334405622;2,94443897916644;23,1005299701252;23,0276522883198;13,0836225490879;"Americas";"South America"
"35";"Ecuador";6,87935580446044;16,6360176954632;25,3676567360878;1,38629436111989;22,9984829191619;4,34380542185368;1,6094379124341;2,99573227355399;3,98898404656427;3,3322045101752;2,94443897916644;22,1114893812452;21,6245241459866;10,6213273456864;"Americas";"South America"
"36";"Guyana";4,74493212836325;13,5609034289751;21,9916787919155;2,484906649788;19,9672433188586;4,24849524204936;1,94591014905531;2,99573227355399;4,07753744390572;2,89037175789616;3,13549421592915;18,4345534810134;17,948947661286;8,00636756765025;"Americas";"South America"
"37";"Paraguay";6,29341927884648;15,74224691625;24,3870556706803;1,6094379124341;22,1121888670866;4,30406509320417;1,6094379124341;3,04452243772342;4,0943445622221;2,99573227355399;2,99573227355399;20,9626360820699;19,6682291631438;10,2035921449865;"Americas";"South America"
"38";"Peru";7,8188324438034;17,2637281892144;26,0751239704225;1,09861228866811;23,3839295807615;4,33073334028633;1,6094379124341;2,89037175789616;4,04305126783455;3,3322045101752;2,77258872223978;22,6409605930075;21,7037645277035;11,9703503120091;"Americas";"South America"
"39";"Suriname";3,43398720448515;13,2542614368662;21,8895568692135;1,94591014905531;19,733174255367;4,26267987704132;1,94591014905531;2,94443897916644;4,23410650459726;2,07944154167984;3,13549421592915;18,3902855344197;21;7,60090245954208;"Americas";"South America"
"40";"Uruguay";5,64897423816121;15,0500065537279;24,8097477113607;2,07944154167984;21,8355495220676;4,35670882668959;2,19722457733622;2,63905732961526;4,27666611901606;2,19722457733622;2,99573227355399;21,7491875320435;20,8765964797781;9,99879773234045;"Americas";"South America"
"41";"Venezuela (Bolivarian Republic of)";9,59321898141155;17,1961789545963;25;1,94591014905531;22;4,27666611901606;1,94591014905531;2,89037175789616;4,30406509320417;2,07944154167984;2,94443897916644;22;19,957164584695;12,7454857261481;"Americas";"South America"
"42";"Kazakhstan";6,81892406527552;16,7079787834025;25,8412596493632;1,6094379124341;22,7427705501086;4,29045944114839;1,94591014905531;3,09104245335832;4,14313472639153;2,83321334405622;2,99573227355399;22,2277078139219;21,0530148770177;11,1704351560235;"Asia";"Central Asia"
"43";"Kyrgyzstan";5,54517744447956;15,6397694852829;22,7648672360467;1,94591014905531;20,6865913265858;4,26267987704132;1,6094379124341;3,2188758248682;3,98898404656427;3,13549421592915;3,13549421592915;19,7943980089399;18,6155548945894;9,95227771670556;"Asia";"Central Asia"
"44";"Uzbekistan";5,89440283426485;17,2933170669963;24,8035105505323;1,79175946922805;23,6019897883697;4,26267987704132;1,6094379124341;3,09104245335832;3,8286413964891;3,2188758248682;3,36729582998647;22,4566230453127;21;11,1272629841582;"Asia";"Central Asia"
"45";"China";8,98594603876032;18,9940738459155;30,1406203783069;1,38629436111989;24,8680652636278;4,33073334028633;1,94591014905531;2,484906649788;3,80666248977032;3,29583686600433;3,3322045101752;26,1168933832988;24,6665875168696;14,8069087623252;"Asia";"Eastern Asia"
"46";"China, Hong Kong Special Administrative Region";3,17805383034795;15,8158683070645;26,5551483142299;1,09861228866811;19,2215978941033;4,4188406077966;1,79175946922805;2,07944154167984;4,41156779147719;2;2,484906649788;23,0333598915904;21;11;"Asia";"Eastern Asia"
"47";"China, Macao Special Administrative Region";0,693147180559945;13,3416354441842;24,6501983227885;0,693147180559945;22;4,4188406077966;1,38629436111989;2,39789527279837;4,41156779147719;2;2,45010209899215;20,9618202107829;21;11;"Asia";"Eastern Asia"
"48";"Japan";5,72358510195238;18,6580095826527;29,214115053023;1,09861228866811;24,8006064705032;4,4188406077966;2,39789527279837;2,07944154167984;4,27666611901606;1,09861228866811;3,2188758248682;25,6505195221036;24,5384922580622;12,4722756863048;"Asia";"Eastern Asia"
"49";"Mongolia";5,25227342804663;14,9513476590439;23,1591358792003;1,79175946922805;20,8840640341331;4,24849524204936;1,79175946922805;3,2188758248682;3,95124371858143;3,36729582998647;2,94443897916644;19,8684137037549;18,2313974342939;9,7981270368783;"Asia";"Eastern Asia"
"51";"Indonesia";7,0475172213573;18,9940738459155;27,6508237432247;1,38629436111989;24,8680652636278;4,26267987704132;1,79175946922805;2,89037175789616;3,85014760171006;3,43398720448515;3,09104245335832;24,1929380794979;22,8247311130495;13,4239483550251;"Asia";"South-Eastern Asia"
"52";"Philippines";9,08545718982949;18,471119681481;26,5162794453306;1,09861228866811;24,2332890101666;4,26267987704132;1,79175946922805;3,04452243772342;4,02535169073515;3,2188758248682;2,89037175789616;22,6269875914177;22,0464476392277;11,9381932003746;"Asia";"South-Eastern Asia"
